"","Pixel_Number","Log_Frequency","Log_Brightness_Temperature","Fit","Concave/Convex"
"30","30","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.57732735  2.6036843   4.57249402 -3.18306445  1.4755367   3.85936562]","[-2.525158    8.08852956]","Convex"
"31","31","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.56447732  2.54466716  4.4935298  -3.21228043  1.41865042  3.779637  ]","[-2.50456482  7.98325226]","Convex"
"32","32","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.69060204  2.92366739  4.90878177 -2.97795177  1.83647569  4.19365983]","[-2.58511449  8.51969791]","Convex"
"33","33","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.67707657  2.84599502  4.87917496 -3.03052481  1.77411453  4.16429551]","[-2.58779296  8.48234255]","Convex"
"34","34","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.69394246  2.89899133  4.99848025 -2.97815559  1.863528    4.2836073 ]","[-2.61425984  8.62486087]","Convex"
"35","35","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.6846047   2.84557411  4.96311403 -3.00479724  1.83074529  4.24921696]","[-2.60805823  8.57706118]","Convex"
"36","36","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.65689836  2.77684673  4.80075659 -3.0710142   1.71107824  4.0858348 ]","[-2.57104027  8.38134467]","Convex"
"37","37","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.63269408  2.71088498  4.75456435 -3.11277037  1.65326954  4.03976149]","[-2.56643648  8.32260836]","Convex"
"38","38","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.66148281  2.77423274  4.84681407 -3.05195166  1.75493185  4.13273828]","[-2.58040241  8.43152046]","Convex"
"39","39","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.63143051  2.69863012  4.76678739 -3.11086896  1.67090294  4.05236079]","[-2.56936241  8.33520753]","Convex"
"40","40","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.68619488  2.87311042  4.9360376  -2.99531603  1.83395012  4.22075809]","[-2.59711079  8.54686464]","Convex"
"41","41","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.69195691  2.87038707  5.02475738 -3.00574002  1.86322016  4.31085989]","[-2.63023538  8.66476353]","Convex"
"42","42","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.65874943  2.81844801  4.81724407 -3.03674222  1.74439989  4.10172789]","[-2.56846288  8.3986783 ]","Convex"
"43","43","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.66900663  2.86061429  4.91101574 -3.04835419  1.79466693  4.19646284]","[-2.60574608  8.54032566]","Convex"
"44","44","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.6761935   2.82345541  4.96900886 -3.03635797  1.82331601  4.25491974]","[-2.61907994  8.59550621]","Convex"
"45","45","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.64109346  2.74547355  4.83055366 -3.09494388  1.7275229   4.11614782]","[-2.58811301  8.42577776]","Convex"
"46","46","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.67122798  2.85886874  4.95070959 -3.04656913  1.81735541  4.23636578]","[-2.61848009  8.59021408]","Convex"
"47","47","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.64884109  2.80168743  4.89938674 -3.08025789  1.7712154   4.18501132]","[-2.60989701  8.52465334]","Convex"
"48","48","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.61400091  2.66013029  4.70647887 -3.14081515  1.60127286  3.99201455]","[-2.55743078  8.25876229]","Convex"
"49","49","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.59623787  2.61581937  4.64392797 -3.16043799  1.54168248  3.92997882]","[-2.54128284  8.17328241]","Convex"
"50","50","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.61136319  2.64319922  4.70286351 -3.14641466  1.60651266  3.98871332]","[-2.55706303  8.25335056]","Convex"
"51","51","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.59423735  2.6013296   4.65088813 -3.1682369   1.54754409  3.93716144]","[-2.5453168   8.18285246]","Convex"
"52","52","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.57582836  2.56483567  4.57074656 -3.19038826  1.48106698  3.85735602]","[-2.524402    8.07895252]","Convex"
"53","53","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.56314427  2.50571429  4.52475063 -3.20842642  1.4357869   3.81074457]","[-2.51180136  8.00887328]","Convex"
"54","54","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.57624471  2.55727954  4.59550341 -3.18849925  1.49876234  3.88229847]","[-2.53178165  8.10812353]","Convex"
"55","55","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.5641868   2.5129544   4.55780678 -3.19701538  1.46153532  3.84459083]","[-2.52007215  8.04868289]","Convex"
"56","56","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.61280833  2.67125352  4.7395741  -3.14301684  1.63620054  4.02594464]","[-2.57016819  8.30951537]","Convex"
"57","57","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.59199847  2.61641945  4.63668418 -3.17291033  1.55719081  3.92340637]","[-2.54290249  8.17500828]","Convex"
"58","58","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.61875296  2.73278469  4.78506621 -3.12871158  1.68403786  4.07152006]","[-2.58442717  8.3826482 ]","Convex"
"59","59","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.59391746  2.67079254  4.67511382 -3.16653426  1.5896395   3.96194459]","[-2.55720062  8.24014072]","Convex"
"60","60","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.57699426  2.57926536  4.61935696 -3.18637835  1.51230604  3.90644183]","[-2.5406247   8.14506749]","Convex"
"61","61","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.56652468  2.54453989  4.59229228 -3.18160552  1.4849172   3.87934791]","[-2.5289621   8.09500657]","Convex"
"62","62","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.57753151  2.62253462  4.60308679 -3.18061212  1.52647099  3.89007331]","[-2.53570059  8.13769712]","Convex"
"63","63","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.56716329  2.58641251  4.60725141 -3.17839905  1.50049536  3.89418395]","[-2.53554477  8.12697026]","Convex"
"64","64","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.56644984  2.57950167  4.4843301  -3.20193066  1.40427832  3.77092582]","[-2.50043784  7.97520992]","Convex"
"65","65","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.55592067  2.52711798  4.41085836 -3.21288113  1.35530185  3.69758232]","[-2.4765132   7.86927391]","Convex"
