"","Pixel_Number","Log_Frequency","Log_Brightness_Temperature","Fit","Concave/Convex"
"758","758","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.52833856  2.28881895  4.36340825 -3.24829314  1.28617697  3.64909306]","[-2.45921966  7.74745953]","Convex"
"759","759","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.52444706  2.30537247  4.35929764 -3.25156101  1.27607881  3.64403913]","[-2.46014117  7.74816406]","Convex"
"760","760","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.52505623  2.27346208  4.37170918 -3.24832318  1.29040592  3.65790927]","[-2.46152693  7.75378782]","Convex"
"761","761","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.52670767  2.28314678  4.36701954 -3.24717899  1.28603066  3.6534835 ]","[-2.46007058  7.7499066 ]","Convex"
"762","762","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.52448165  2.27721481  4.33622065 -3.24819045  1.27037048  3.62325578]","[-2.44976772  7.70933111]","Convex"
"763","763","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.52369104  2.28640196  4.30878856 -3.25086434  1.25587934  3.59517034]","[-2.4417295   7.67812414]","Convex"
"764","764","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.52574443  2.2956663   4.33140236 -3.25364654  1.27148008  3.6167059 ]","[-2.45047198  7.71179316]","Convex"
"765","765","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.52342617  2.31877824  4.34305567 -3.25646566  1.27628786  3.62750311]","[-2.45684802  7.73558705]","Convex"
"766","766","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.52232964  2.30022742  4.32300936 -3.25747114  1.25807322  3.60865876]","[-2.44950889  7.70391697]","Convex"
"767","767","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.52135154  2.3233677   4.34727815 -3.25908458  1.27594758  3.63213621]","[-2.4596541   7.74414275]","Convex"
"768","768","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.86388878  3.18107598  5.08277018 -2.13634528  2.10539735  4.39826548]","[-2.39394901  8.35231014]","Concave"
"769","769","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.76770783  3.07302093  4.98160952 -2.51387624  1.95143812  4.27508742]","[-2.47307561  8.39402472]","Convex"
"770","770","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.77336498  3.08178749  4.98186568 -2.44035515  1.95677194  4.28258058]","[-2.4521397   8.35748868]","Convex"
"771","771","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.71070798  2.96469099  4.92647128 -2.75041239  1.84848042  4.21489731]","[-2.52404511  8.42060772]","Convex"
"772","772","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.70889008  2.97739257  4.91311303 -2.80034515  1.84308411  4.19918784]","[-2.53502846  8.43635649]","Convex"
"773","773","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.69356749  2.91814699  4.91457065 -2.90253211  1.8250721   4.20143269]","[-2.56431118  8.47916575]","Convex"
"774","774","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.68003155  2.85739811  4.88394017 -2.89190348  1.78484738  4.17065994]","[-2.54846862  8.41122937]","Convex"
"775","775","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.66332655  2.78563445  4.83830061 -2.97403679  1.7448681   4.12529524]","[-2.55488758  8.37732962]","Convex"
"776","776","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.69100447  2.91671741  4.81484735 -2.74195554  1.77589586  4.10474589]","[-2.48267156  8.25619995]","Convex"
"777","777","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.67160912  2.83007188  4.83299963 -2.89032212  1.74548913  4.11915539]","[-2.52975785  8.33419969]","Convex"
"778","778","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.64940207  2.78432993  4.74654098 -2.89399488  1.67010584  4.0332778 ]","[-2.50104729  8.20778143]","Convex"
"779","779","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.64465227  2.72424614  4.72613921 -2.98027263  1.67038371  4.01258602]","[-2.51651764  8.21523369]","Convex"
"780","780","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.66242609  2.75159145  4.87869735 -2.96528032  1.7436573   4.1648423 ]","[-2.56418156  8.40978136]","Convex"
"781","781","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.64503731  2.69268656  4.7721025  -3.03210567  1.69624983  4.05895711]","[-2.54583052  8.29582945]","Convex"
"782","782","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.65024046  2.66948746  4.80199769 -3.00856442  1.7257709   4.08910376]","[-2.54695919  8.31455825]","Convex"
"783","783","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.63476488  2.62931632  4.74578961 -3.05999746  1.67816679  4.03316891]","[-2.54241345  8.25849821]","Convex"
"784","784","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.68714136  2.83218107  4.93399649 -2.94893895  1.82440611  4.22161704]","[-2.58041794  8.5035859 ]","Convex"
"785","785","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.68096959  2.73154726  4.93515281 -2.97176506  1.81618296  4.22374905]","[-2.58229064  8.4859324 ]","Convex"
"786","786","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.65992883  2.715202    4.83572317 -3.0133173   1.74229487  4.12250866]","[-2.56174488  8.37463695]","Convex"
"787","787","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.66123507  2.65325883  4.85931497 -3.02285037  1.75164004  4.14646284]","[-2.56880732  8.39042881]","Convex"
"788","788","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.67345762  2.66736653  4.92143654 -2.96139669  1.78423335  4.2107723 ]","[-2.57163981  8.43878468]","Convex"
"789","789","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.6543523   2.64407734  4.78671277 -2.93654083  1.7017605   4.07454225]","[-2.51844806  8.24135005]","Convex"
"790","790","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.65404749  2.62844397  4.83895992 -3.03172437  1.71979795  4.12668142]","[-2.56398287  8.3593202 ]","Convex"
"791","791","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.63764995  2.62352763  4.72856087 -3.03443935  1.64559091  4.01580019]","[-2.52843496  8.21544164]","Convex"
"792","792","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.63879311  2.65010836  4.78254767 -3.06070506  1.67532245  4.06927548]","[-2.55621505  8.30937285]","Convex"
"793","793","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.64134825  2.61915884  4.8026397  -3.07006362  1.68062172  4.08904214]","[-2.56373558  8.32977986]","Convex"
"794","794","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.62360441  2.61208275  4.72513197 -3.10579414  1.6265676   4.01190226]","[-2.54943079  8.24843585]","Convex"
"795","795","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.62401354  2.60553807  4.72131575 -3.11560181  1.61939858  4.00778239]","[-2.55062492  8.24630545]","Convex"
"796","796","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.63254119  2.60933981  4.73507895 -3.09325154  1.63831627  4.02141081]","[-2.54788798  8.25282606]","Convex"
"797","797","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.62055467  2.60663166  4.66062315 -3.10857213  1.58068237  3.94721635]","[-2.52824738  8.16337106]","Convex"
"798","798","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.61717672  2.59753522  4.66053308 -3.12899047  1.58580357  3.9470178 ]","[-2.53403894  8.17345937]","Convex"
"799","799","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.61023476  2.58220256  4.64586236 -3.13757124  1.55498925  3.93213408]","[-2.53153597  8.15187427]","Convex"
"800","800","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.62997972  2.69131433  4.72194545 -2.99885737  1.60905009  4.00857414]","[-2.52070432  8.20328583]","Convex"
"801","801","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.63658253  2.65792188  4.67433781 -3.01679031  1.64473856  3.96194669]","[-2.50659429  8.15010219]","Convex"
"802","802","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.60922615  2.61630538  4.5954386  -3.07983872  1.51555758  3.88242034]","[-2.49942776  8.06189384]","Convex"
"803","803","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.61273962  2.59590341  4.55331824 -3.0915357   1.52364514  3.84091278]","[-2.48669147  8.01206965]","Convex"
"804","804","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.67826353  2.61451797  5.08324449 -2.90006411  1.82634003  4.3736491 ]","[-2.60550267  8.58846157]","Convex"
"805","805","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.65987261  2.58073916  4.8974932  -2.94549926  1.78748806  4.18762786]","[-2.55465104  8.3741155 ]","Convex"
"806","806","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.65999864  2.56142639  4.69727553 -2.96869619  1.7050536   3.98769789]","[-2.49168223  8.12608848]","Convex"
"807","807","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.66691623  2.53640381  4.97413333 -2.9638205   1.75824986  4.26401066]","[-2.58359705  8.45927242]","Convex"
"808","808","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.59392024  2.54212447  4.53476014 -3.12594793  1.4327388   3.82145516]","[-2.48989224  7.98090757]","Convex"
"809","809","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.59095111  2.52369961  4.46921307 -3.15119478  1.41439568  3.75540491]","[-2.47394196  7.90748039]","Convex"
"810","810","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.58475109  2.4756061   4.44847352 -3.15122905  1.36998627  3.73363162]","[-2.46469097  7.86035423]","Convex"
"811","811","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.58331371  2.46385883  4.43218967 -3.17417248  1.37172571  3.71729547]","[-2.46529601  7.85072862]","Convex"
"812","812","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.60040069  2.5045209   4.51243444 -3.14554213  1.46195451  3.79928583]","[-2.48476291  7.95683143]","Convex"
"813","813","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.61167787  2.49844064  4.57791449 -3.13831177  1.5377176   3.86544053]","[-2.50319046  8.04044816]","Convex"
"814","814","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.58588473  2.45965442  4.48417983 -3.18152521  1.40733691  3.77006259]","[-2.4848074   7.92236802]","Convex"
"815","815","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.59351708  2.47018832  4.56238026 -3.17087018  1.47715856  3.84925188]","[-2.50812527  8.02448672]","Convex"
"816","816","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.62068019  2.57056605  4.68491647 -3.11111013  1.61967848  3.97206996]","[-2.53490183  8.1886134 ]","Convex"
"817","817","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.61435482  2.57419438  4.68957223 -3.1390218   1.5912302   3.97618154]","[-2.5459412   8.20837557]","Convex"
"818","818","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.62235176  2.53256469  4.66457317 -3.1152229   1.61558227  3.95207791]","[-2.52664544  8.15341887]","Convex"
"819","819","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.61271834  2.53914056  4.70485668 -3.14019194  1.58964482  3.99187371]","[-2.54968097  8.21649823]","Convex"
"820","820","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.61146134  2.56885659  4.70400967 -3.13829179  1.58688036  3.99061014]","[-2.55074228  8.22345128]","Convex"
"821","821","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.60578089  2.55037308  4.67695015 -3.14620989  1.56398654  3.96349888]","[-2.5433585   8.18643594]","Convex"
"822","822","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.60883413  2.53821837  4.69890507 -3.14031997  1.57981835  3.98548515]","[-2.54801559  8.20773566]","Convex"
"823","823","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.59813768  2.52958838  4.6342264  -3.15897238  1.53235213  3.92049746]","[-2.53208984  8.13128263]","Convex"
"824","824","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.60946036  2.50961715  4.66266383 -3.14155982  1.56683929  3.95045906]","[-2.53427506  8.15379532]","Convex"
"825","825","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.60838834  2.51933292  4.68930395 -3.13770041  1.57283578  3.9765824 ]","[-2.5429474   8.18778178]","Convex"
"826","826","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.6013907   2.48811258  4.68004785 -3.14716668  1.53810341  3.96736915]","[-2.54169454  8.16777342]","Convex"
"827","827","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.59547929  2.49378419  4.60466384 -3.15669602  1.51289614  3.8909229 ]","[-2.5193842   8.07976097]","Convex"
"828","828","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.59886252  2.51694421  4.62057531 -3.15620964  1.52705206  3.90698893]","[-2.52574017  8.10815874]","Convex"
"829","829","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.58682139  2.51351056  4.54719177 -3.17306877  1.46988895  3.83269649]","[-2.50671566  8.02012879]","Convex"
"830","830","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.58561033  2.49164083  4.5573381  -3.16946951  1.46623151  3.84245758]","[-2.50791563  8.02264942]","Convex"
"831","831","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.57961121  2.49250344  4.54059115 -3.16411536  1.4370772   3.82479458]","[-2.50130172  7.99523013]","Convex"
"832","832","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.63882102  2.6338185   4.72545623 -2.94911105  1.64199848  4.01254492]","[-2.50233184  8.16336732]","Convex"
"833","833","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.62846338  2.61931703  4.69883595 -2.97601956  1.60126936  3.9866599 ]","[-2.50179725  8.13783741]","Convex"
"834","834","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.62755885  2.61298676  4.70834672 -3.02797558  1.60258842  3.9958611 ]","[-2.5203044   8.17849293]","Convex"
"835","835","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.61832808  2.59743102  4.66315239 -3.04591257  1.57110494  3.95126927]","[-2.51033643  8.12574839]","Convex"
"836","836","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.61564663  2.60210979  4.61389074 -3.0233238   1.55370275  3.90177873]","[-2.48714721  8.05136839]","Convex"
"837","837","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.60727781  2.58544659  4.62050623 -3.06646131  1.54481394  3.90761848]","[-2.50214738  8.07884265]","Convex"
"838","838","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.60936608  2.58339748  4.6460711  -3.0769682   1.55080978  3.93370983]","[-2.51386262  8.11657354]","Convex"
"839","839","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.60425323  2.57136656  4.66084121 -3.09536781  1.55084247  3.94754871]","[-2.52413598  8.14161416]","Convex"
"840","840","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.61533407  2.59421743  4.64443966 -3.10472476  1.55781911  3.93131312]","[-2.52149743  8.13470648]","Convex"
"841","841","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.60957025  2.57951315  4.635831   -3.0991495   1.5431975   3.92275475]","[-2.51665809  8.11458883]","Convex"
"842","842","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.60681576  2.56911485  4.64793986 -3.13690399  1.54418403  3.9338865 ]","[-2.53165267  8.14836934]","Convex"
"843","843","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.60242484  2.56062776  4.61842934 -3.13175956  1.52587749  3.90407648]","[-2.51990979  8.10420525]","Convex"
"844","844","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.60305259  2.56646698  4.62030904 -3.10751095  1.53157876  3.90653513]","[-2.51362625  8.09497851]","Convex"
"845","845","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.59735478  2.55637723  4.61371794 -3.11949679  1.522025    3.89954645]","[-2.51490826  8.0897624 ]","Convex"
"846","846","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.59598692  2.55012729  4.59936236 -3.13150597  1.50405985  3.88447487]","[-2.51334206  8.07459963]","Convex"
"847","847","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.58896734  2.54002083  4.56604609 -3.13466421  1.48221652  3.85061847]","[-2.50292527  8.02982637]","Convex"
"848","848","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.60613344  2.56958013  4.67760952 -3.08218591  1.56484934  3.96425247]","[-2.52556717  8.15538862]","Convex"
"849","849","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.60266718  2.55105296  4.64802414 -3.09095442  1.54944112  3.93478859]","[-2.51728675  8.11674195]","Convex"
"850","850","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.6025361   2.56026986  4.65957016 -3.10543243  1.55483239  3.94599428]","[-2.52611274  8.14303472]","Convex"
"851","851","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.59837579  2.54368104  4.63860198 -3.11184565  1.53531952  3.92522752]","[-2.5203641  8.1136441]","Convex"
"852","852","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.59420917  2.53147519  4.59639301 -3.11399098  1.51241039  3.88308678]","[-2.50624023  8.05667394]","Convex"
"853","853","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.58269442  2.50517256  4.56076992 -3.13028464  1.47278239  3.84658723]","[-2.49853471  8.00938588]","Convex"
"854","854","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.58986165  2.52161137  4.60554253 -3.12475401  1.50409332  3.89170707]","[-2.51247436  8.0699803 ]","Convex"
"855","855","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.57716029  2.4937064   4.55332356 -3.1451048   1.4716483   3.83888019]","[-2.50020218  8.00561893]","Convex"
"856","856","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.59341953  2.54815684  4.60760053 -3.13222031  1.51304231  3.89360874]","[-2.5165953  8.0864105]","Convex"
"857","857","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.58993788  2.53094246  4.59396427 -3.14170455  1.49971209  3.88046944]","[-2.51418976  8.06856349]","Convex"
"858","858","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.58452624  2.52751544  4.55614293 -3.1506031   1.47365203  3.8417299 ]","[-2.50416498  8.0229466 ]","Convex"
"859","859","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.5807338   2.51058158  4.55996267 -3.16141596  1.47411411  3.84669594]","[-2.50822936  8.02959312]","Convex"
"860","860","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.58272322  2.50941882  4.58273194 -3.14503263  1.4899316   3.86846776]","[-2.51065856  8.04871421]","Convex"
"861","861","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.57436062  2.49108581  4.56976641 -3.16780074  1.47782653  3.85497315]","[-2.51271767  8.03929224]","Convex"
"862","862","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.57609474  2.49834871  4.58832756 -3.16603655  1.48053424  3.87335264]","[-2.51886156  8.06335706]","Convex"
"863","863","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.57061993  2.48525218  4.56663726 -3.18872867  1.47339491  3.85175472]","[-2.51794255  8.0457323 ]","Convex"
"864","864","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.59957955  2.54426256  4.6430354  -3.1548278   1.53272788  3.92946905]","[-2.53469217  8.14431984]","Convex"
"865","865","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.59335868  2.54108387  4.59233382 -3.15428474  1.49755041  3.87812331]","[-2.51759163  8.07637682]","Convex"
"866","866","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.58766937  2.52868298  4.56746166 -3.17646778  1.48009733  3.85288932]","[-2.51551566  8.05311228]","Convex"
"867","867","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.58024982  2.52248532  4.530199   -3.17663285  1.44297861  3.81473649]","[-2.50321456  8.0006991 ]","Convex"
"868","868","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.58624939  2.53002133  4.56937149 -3.15004377  1.47046875  3.85440943]","[-2.50852913  8.03865809]","Convex"
"869","869","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.58041484  2.51766029  4.53825957 -3.15289288  1.45566938  3.82285459]","[-2.49847185  7.99659959]","Convex"
"870","870","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.57542809  2.50796246  4.51328759 -3.16747776  1.42994269  3.79776301]","[-2.49430189  7.96845876]","Convex"
"871","871","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.57331454  2.49602491  4.5299195  -3.16983101  1.43717518  3.81454533]","[-2.50021062  7.98756286]","Convex"
"872","872","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.57774201  2.51259755  4.49857235 -3.17764383  1.42503181  3.78239905]","[-2.49224117  7.95683729]","Convex"
"873","873","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.5708292   2.50232047  4.46632536 -3.17055356  1.39667217  3.75007267]","[-2.47923959  7.90651896]","Convex"
"874","874","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.57220191  2.49008245  4.47726629 -3.16264871  1.3973555   3.76064308]","[-2.47972122  7.91095252]","Convex"
"875","875","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.56459468  2.47689511  4.44292201 -3.15351283  1.37457735  3.72838286]","[-2.46553157  7.85793719]","Convex"
"876","876","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.56702271  2.48589185  4.47187843 -3.1667422   1.39652183  3.75593641]","[-2.4794414   7.90617391]","Convex"
"877","877","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.56420217  2.47526107  4.50075521 -3.17775525  1.40806301  3.78556468]","[-2.49239619  7.94679783]","Convex"
"878","878","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.55923032  2.4581125   4.45499705 -3.16047679  1.37726593  3.74111276]","[-2.47125971  7.87193762]","Convex"
"879","879","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.55545292  2.44585211  4.44519476 -3.19451417  1.37710013  3.73039063]","[-2.47753254  7.87613533]","Convex"
"880","880","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.57703578  2.50425341  4.54869204 -3.16502228  1.45680724  3.83407433]","[-2.50534531  8.01310192]","Convex"
"881","881","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.57213447  2.49238388  4.55095893 -3.17881407  1.45403633  3.83630363]","[-2.51004248  8.02027066]","Convex"
"882","882","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.56847911  2.48383875  4.52437855 -3.18014675  1.43471455  3.80978222]","[-2.50124446  7.98351486]","Convex"
"883","883","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.56360205  2.46917077  4.49492099 -3.19624038  1.42221973  3.77951301]","[-2.49541333  7.95067227]","Convex"
"884","884","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.5688132   2.48327374  4.55408617 -3.1911808   1.45576696  3.83857737]","[-2.51445827  8.02858385]","Convex"
"885","885","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.56682288  2.46869362  4.55707437 -3.20413121  1.4587155   3.84268621]","[-2.51881052  8.03643361]","Convex"
"886","886","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.56297787  2.45875903  4.50660135 -3.21206563  1.42246181  3.79209572]","[-2.50376386  7.97156845]","Convex"
"887","887","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.56161383  2.44897632  4.51767965 -3.21491807  1.43348805  3.80377647]","[-2.50797864  7.98561129]","Convex"
"888","888","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.56016018  2.45801028  4.50390242 -3.19303473  1.40647229  3.78954473]","[-2.49754427  7.95474971]","Convex"
"889","889","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.55916321  2.43673324  4.48791257 -3.20884035  1.39528716  3.77262308]","[-2.49548247  7.93579732]","Convex"
"890","890","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.55599123  2.4260096   4.446083   -3.20824549  1.37426348  3.73189998]","[-2.48079679  7.87887814]","Convex"
